id,name,description,detail,summary,category,price,brand,promotion,created_at,updated_at
11,Chuột có dây E-dra EM6102,"Mua chuột có dây E-dra EM6102 chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.","- Tương thích: Windows 98 / 2000 / ME / NT / XP / win 7
- Độ phân giải: 1200/1600/2400/3600 DPI
- Kết nối: Dây USB-A
- Khoảng cách kết nối (Độ dài dây): 1.75 mét
- Đèn LED: LED Rainbow
- Hãng sản xuất: E-dra","Mua chuột có dây E-dra EM6102 chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",Phụ kiện,160000,E-dra,2,2026-03-28 23:18:38,2026-03-28 23:18:38
12,Chuột có dây E-dra EM6102PRO,"Mua chuột có dây E-dra EM6102PRO chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.","- Tương thích: Windows 98 / 2000 / ME / NT / XP / win 7
- Độ phân giải: 1000/2000/3000/5000/7000/10000 DPI
- Kết nối: Dây USB-A
- Khoảng cách kết nối (Độ dài dây): 1.5 mét
- Đèn LED: LED RGB
- Hãng sản xuất: E-dra","Mua chuột có dây E-dra EM6102PRO chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",Phụ kiện,295000,E-dra,2,2026-03-28 23:18:38,2026-03-28 23:18:38
13,Chuột gaming không dây E-dra EM623W,"Mua chuột gaming không dây E-dra EM623W chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.","- Tương thích: Windows 7/8/10/11
- Độ phân giải: 1200/2400/3200 DPI
- Kết nối: Wireless 2.4Ghz + Bluetooth
- Khoảng cách kết nối (Độ dài dây): 10 mét
- Đèn LED: LED RGB
- Hãng sản xuất: E-dra","Mua chuột gaming không dây E-dra EM623W chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",Phụ kiện,280000,E-dra,2,2026-03-28 23:18:38,2026-03-28 23:18:38
14,Chuột gaming không dây E-dra EM631W,"Mua chuột gaming không dây E-dra EM631W chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.","- Tương thích: Windows 98 / 2000 / ME / NT / XP / win 7/ win 8/ win 10/ win 11
- Độ phân giải: 1200/2400/3200/4800/8000 DPI
- Kết nối: Dây USB-A to C + 2.4Ghz + Bluetooth
- Khoảng cách kết nối (Độ dài dây): Không dây: 10 métCó dây: 1.6 mét
- Đèn LED: LED RGB
- Hãng sản xuất: E-dra","Mua chuột gaming không dây E-dra EM631W chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",Phụ kiện,310000,E-dra,2,2026-03-28 23:18:38,2026-03-28 23:18:38
15,HONOR X8d 8GB 128GB - Đã kích hoạt,"Mua điện thoại HONOR X8d 8GB 128GB đã kích hoạt bảo hành, đổi mới 30 ngày, có trả góp 0%","- Kích thước màn hình: 6.77 inches
- Công nghệ màn hình: AMOLED
- Camera sau: Camera chính 108MP (f/1.75) + Camera rộng 5MP (f/2.2)
- Camera trước: 16MP (f/2.45)
- Chipset: Snapdragon 6s 4G thế hệ 2
- Công nghệ NFC: Có
- Dung lượng RAM: 8 GB
- Bộ nhớ trong: 128 GB
- Pin: 6800mAh (giá trị định mức), 7000 mAh (giá trị điển hình)
- Thẻ SIM: 2 Nano-SIM
- Hệ điều hành: MagicOS 10 (Dựa trên Android 16)
- Độ phân giải màn hình: 1080 x 2392 pixels
- Tính năng màn hình: Màu sắc: 1,07 tỷ màuCông nghệ Eye Comfort800 nit (điển hình) 1300 nit (loại HBM) 3000 nit (loại APL)Chất liệu kính Thủy tinh Aluminosilicate
- Loại CPU: Octa-core, 4 * A73 2,9 GHz + 4 * A53 1,9 GHz","Mua điện thoại HONOR X8d 8GB 128GB đã kích hoạt bảo hành, đổi mới 30 ngày, có trả góp 0%",Điện thoại,6290000,HONOR,2,2026-03-28 23:18:38,2026-03-28 23:18:38
16,POCO X8 Pro Max 5G 12GB 256GB - Đã kích hoạt,"Mua điện thoại Poco X8 Pro Max 12GB/256GB đã kích hoạt bảo hành, đổi mới 30 ngày, có trả góp 0%","- Kích thước màn hình: 6.83 inches
- Công nghệ màn hình: AMOLED
- Camera sau: 50 MP f/1.5 (cảm biến Light Hunter 600, OIS) + 8 MP (góc siêu rộng)
- Camera trước: 20 MP
- Chipset: MediaTek Dimensity 9500s
- Dung lượng RAM: 12 GB
- Bộ nhớ trong: 256 GB
- Pin: 8.500 mAh
- Thẻ SIM: Dual nano-SIM hoặc 1 nano-SIM + 1 eSIM
- Hệ điều hành: Xiaomi HyperOS 3 (Android 16)
- Độ phân giải màn hình: 2772 x 1280 pixels
- Tính năng màn hình: Độ sáng tối đa 3.500 nits, PWM 3840Hz, 68 tỷ màu, dải màu DCI-P3, HDR10+
- Loại CPU: 1 × Cortex-X925 (tối đa 3.73GHz) + 3 × Cortex-X4 (tối đa 3.3GHz) + 4 × Cortex-A720 (tối đa 2.4GHz)","Mua điện thoại Poco X8 Pro Max 12GB/256GB đã kích hoạt bảo hành, đổi mới 30 ngày, có trả góp 0%",Điện thoại,12390000,Xiaomi,2,2026-03-28 23:18:38,2026-03-28 23:18:38
17,Đồng hồ thông minh Garmin Fenix 6S - Cũ Xước Cấn,"Mua Đồng hồ thông minh Garmin Fenix 6S Sapphire cũ giá rẻ - Nguồn gốc rõ ràng, bảo hành 6-12 tháng, đổi mới 30 ngày, luôn xuất bán đầy đủ VAT.","- Công nghệ màn hình: Mip
- Kích thước màn hình: 1.2 inch
- Đường kính mặt: 42mm
- Độ phân giải màn hình: 240 x 240 pixels
- Tiện ích sức khoẻ: Chế độ luyện tập, Theo dõi giấc ngủ, Đo nhịp tim, Đo lượng oxy trong máu, Đếm bước chân, Tính calo tiêu thụ, Tính quãng đường chạy
- Tương thích: Android,iOS
- Thời lượng pin: Đồng hồ thông minh: Tối đa 9 ngày GPSGPS Tối đa 25 giờ GPS và âm nhạc Âm nhạc: Tối đa 6 giờ
- Dòng sản phẩm: Fenix 6
- Hãng sản xuất: Garmin","Mua Đồng hồ thông minh Garmin Fenix 6S Sapphire cũ giá rẻ - Nguồn gốc rõ ràng, bảo hành 6-12 tháng, đổi mới 30 ngày, luôn xuất bán đầy đủ VAT.",Khác,4090000,Garmin,2,2026-03-28 23:18:38,2026-03-28 23:18:38
18,Giá đỡ iPad/Điện thoại Rain Design (USA) MStand tản nhiệt,"Mua Giá đỡ iPad/Điện thoại Rain Design (USA) MStand tản nhiệt chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.","- Hãng sản xuất: Rain Design
- Chất liệu: Hợp kim nhôm nguyên khối (Aluminum)
- Tiện ích: Thiết kế khe cắm cáp iPhone dễ dàngGiữ iPad ở chế độ dọc hoặc ngangmStand tạo ra những góc độ để xem máy tính bảng thoải mái hơn","Mua Giá đỡ iPad/Điện thoại Rain Design (USA) MStand tản nhiệt chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",Tablet,981000,Rain Design,2,2026-03-28 23:18:38,2026-03-28 23:18:38
19,Giá đỡ Laptop/Macbook Rain Design (Usa) Mbar Pro Foldable tản nhiệt,"Mua Giá đỡ Laptop/Macbook Rain Design (Usa) Mbar Pro Foldable tản nhiệt chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.","- Hãng sản xuất: Rain Design
- Chất liệu: Hợp kim nhôm nguyên khối (Aluminum)
- Tiện ích: Giá đỡ có thể gấp gọn lạiNâng máy tính xách tay lên 75mmmBar Pro giúp tăng luồng khí xung quang và dưới máy tính xách tay","Mua Giá đỡ Laptop/Macbook Rain Design (Usa) Mbar Pro Foldable tản nhiệt chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",Laptop,1512000,Rain Design,2,2026-03-28 23:18:38,2026-03-28 23:18:38
20,Giá đỡ Laptop/Macbook Rain Design (Usa) Mbar tản nhiệt,"Mua Giá đỡ Laptop/Macbook Rain Design (Usa) Mbar tản nhiệt chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.","- Hãng sản xuất: Rain Design
- Chất liệu: Hợp kim nhôm nguyên khối (Aluminum)
- Tiện ích: Nâng máy tính xách tay lên 75mmmBar giúp tăng luồng khí xung quanh và dưới máy tính xách tay","Mua Giá đỡ Laptop/Macbook Rain Design (Usa) Mbar tản nhiệt chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",Laptop,711000,Rain Design,2,2026-03-28 23:18:38,2026-03-28 23:18:38
21,Laptop Acer Aspire Go 14 AI AG14-71M-57WR NX.JFWSV.001 - Cũ Trầy Xước,"Mua ngay Laptop Acer Aspire Go 14 AI AG14-71M-57WR cũ giá rẻ - Nguồn gốc rõ ràng, bảo hành 6-12 tháng, đổi mới 30 ngày, luôn xuất bán đầy đủ VAT.","- Chip AI: 11 TOPS
- Loại card đồ họa: Intel Arc Graphics
- Dung lượng RAM: 16GB
- Loại RAM: DDR5 Up to 5600 MT/s
- Số khe ram: 2 khe (1 x 16GB, nâng cấp tối đa 96GB)
- Ổ cứng: 512GB PCIe NVMe SSD (Nâng cấp tối đa 2TB)
- Kích thước màn hình: 14 inches
- Công nghệ màn hình: Màn hình LCD TFT đèn nền LED Acer ComfyView Góc nhìn rộngĐộ phủ màu sRGB 100%Độ sáng 300nits
- Pin: Pin Li-ion 3 cell 55 Wh Bộ chuyển đổi AC USB Type-C 65 W PD
- Hệ điều hành: Windows 11 Home Single Language
- Độ phân giải màn hình: 1920 x 1200 pixels (FullHD+)
- Loại CPU: Intel Core Ultra 5 125H (14 lõi / 18 luồng, Tần số Turbo tối đa của E-core : 3.6 GHz, Tần số Turbo tối đa của P-core : 4.5 GHz,18 MB Intel Smart Cache)
- Cổng giao tiếp: 2x USB Type-C 2x USD 3.2 Gen 1 Type A 1x Cổng HDMI 2.1 hỗ trợ HDCP 1x Ethernet (RJ-45) 1x Thẻ nhớ microSD lên đến 512 GB (tương thích SDXC, tương thích exFAT) 1x Giắc cắm tai nghe/loa 3.5 mm, hỗ trợ tai nghe có micro tích hợp","Mua ngay Laptop Acer Aspire Go 14 AI AG14-71M-57WR cũ giá rẻ - Nguồn gốc rõ ràng, bảo hành 6-12 tháng, đổi mới 30 ngày, luôn xuất bán đầy đủ VAT.",Laptop,12690000,Acer,0,2026-03-28 23:18:38,2026-03-28 23:18:38
22,Laptop Acer Aspire Lite 15 AL15-51M-55NB NX.KRSSV.001 - Cũ Đẹp,"Mua Laptop Acer Aspire Lite 15 AL15-51M-55NB NX.KRSSV.001 cũ giá rẻ - Nguồn gốc rõ ràng, bảo hành 6-12 tháng, đổi mới 30 ngày, luôn xuất bán đầy đủ VAT.","- Loại card đồ họa: Intel Iris Xe
- Dung lượng RAM: 8GB
- Ổ cứng: 512GB SSD PCIe NVMe
- Kích thước màn hình: 15.6 inches
- Công nghệ màn hình: 15.6 inch Full HD 1080pAcer BlueLightShield
- Hệ điều hành: Windows 11
- Độ phân giải màn hình: 1920 x 1080 pixels (FullHD)
- Loại CPU: Intel Core i5 1155G7 4 lõi 8 luồng, tốc độ tối đa lên đến 4.5 GHz
- Cổng giao tiếp: 2 cổng USB-A1 cổng USB-C 3.2 Gen 2Cổng xuất hình HDMI 1.4Jack cắm tai ngheEthernet RJ-45","Mua Laptop Acer Aspire Lite 15 AL15-51M-55NB NX.KRSSV.001 cũ giá rẻ - Nguồn gốc rõ ràng, bảo hành 6-12 tháng, đổi mới 30 ngày, luôn xuất bán đầy đủ VAT.",Laptop,8390000,Acer,2,2026-03-28 23:18:38,2026-03-28 23:18:38
23,Laptop ASUS Vivobook S 14 FLIP TP3402VA-LZ632W - Cũ Trầy Xước,"Mua ngay Laptop ASUS Vivobook S 14 FLIP TP3402VA-LZ632W cũ giá rẻ - Nguồn gốc rõ ràng, bảo hành 6-12 tháng, đổi mới 30 ngày, luôn xuất bán đầy đủ VAT.","- Loại card đồ họa: Intel UHD Graphics
- Dung lượng RAM: 16GB
- Loại RAM: DDR4
- Số khe ram: 8GB DDR4 on board + 8GB DDR4 SO-DIMM (Có thể nâng cấp; Cần tháo vỏ dưới/trên)
- Ổ cứng: 512GB M.2 NVMe PCIe 4.0 SSD
- Kích thước màn hình: 14 inches
- Công nghệ màn hình: Độ sáng 300nitsĐộ phủ màu 45% NTSC TÜV Rheinland-certifiedWith stylus support
- Pin: 50WHrs, 3S1P, 3-cell Li-ion
- Hệ điều hành: Windows 11 Home
- Độ phân giải màn hình: 1920 x 1200 pixels (WUXGA)
- Loại CPU: Intel Core i5-13420H 2.1 GHz (12MB Cache, up to 4.6 GHz, 8 lõi, 12 luồng)
- Cổng giao tiếp: 1x USB 2.0 Type-A (480Mbps) 1x USB 3.2 Gen 2 Type-A (10Gbps) 1x USB 3.2 Gen 2 Type-C hỗ trợ hiển thị/cung cấp điện (10Gbps) 1x HDMI 2.1 TMDS 1x Giắc cắm âm thanh kết hợp 3.5mm 1x DC-in","Mua ngay Laptop ASUS Vivobook S 14 FLIP TP3402VA-LZ632W cũ giá rẻ - Nguồn gốc rõ ràng, bảo hành 6-12 tháng, đổi mới 30 ngày, luôn xuất bán đầy đủ VAT.",Laptop,14590000,ASUS,45,2026-03-28 23:18:38,2026-03-28 23:18:38
24,Laptop Dell 15 DC15250 79N4M - Cũ Đẹp,"Mua ngay Laptop Dell 15 DC15250 79N4M cũ giá rẻ - Nguồn gốc rõ ràng, bảo hành 6-12 tháng, đổi mới 30 ngày, luôn xuất bán đầy đủ VAT.","- Loại card đồ họa: Intel Graphics
- Dung lượng RAM: 16GB
- Loại RAM: DDR4
- Số khe ram: 2 khe (2 x 8GB, nâng cấp tối đa 16GB)
- Ổ cứng: 512GB SSD
- Kích thước màn hình: 15.6 inches
- Công nghệ màn hình: Độ phủ màu 45% NTSCĐộ sáng 250 nitsMàn hình chống chói
- Pin: 3 cell, 41Wh
- Hệ điều hành: Windows 11
- Độ phân giải màn hình: 1920 x 1080 pixels (FullHD)
- Loại CPU: Intel Core 3-100U
- Cổng giao tiếp: Thẻ SD / Cổng USB 2.0 / Cổng âm thanh đa năng / Cổng HDMI 1.4 / Cổng USB 3.2 thế hệ 1 / USB loại C","Mua ngay Laptop Dell 15 DC15250 79N4M cũ giá rẻ - Nguồn gốc rõ ràng, bảo hành 6-12 tháng, đổi mới 30 ngày, luôn xuất bán đầy đủ VAT.",Laptop,9190000,Dell,45,2026-03-28 23:18:38,2026-03-28 23:18:38
25,Laptop Dell 15 DC15250 I5U165W11SLU - Cũ Trầy Xước,"Mua ngay Laptop Dell 15 DC15250 I5U165W11SLU cũ giá rẻ - Nguồn gốc rõ ràng, bảo hành 6-12 tháng, đổi mới 30 ngày, luôn xuất bán đầy đủ VAT.","- Loại card đồ họa: Intel UHD Graphics
- Dung lượng RAM: 16GB
- Loại RAM: DDR4 2666MHz
- Số khe ram: 2 khe (1 x 16GB)
- Ổ cứng: 512GB SSD PCIe Gen4x4 (M.2 2230)
- Kích thước màn hình: 15.6 inches
- Công nghệ màn hình: Màn hình chống chói
- Pin: Pin liền, 3-Cell Battery, 41WHr
- Hệ điều hành: Windows 11 Home + Office Home 2024 + 1 năm sử dụng Microsoft 365 Basic (miễn phí 1 năm, hết phải gia hạn)
- Độ phân giải màn hình: 1920 x 1080 pixels (FullHD)
- Loại CPU: Intel Core i5-1334U (12MB Cache, Turbo Boost 4.6GHz)
- Cổng giao tiếp: 1x USB 3.2 Gen 1 1x USB 2.0 1x USB 3.2 Gen 1 Type-C 1x HDMI 1.4 1x Khe cắm thẻ SD 1x Cổng âm thanh đa năng","Mua ngay Laptop Dell 15 DC15250 I5U165W11SLU cũ giá rẻ - Nguồn gốc rõ ràng, bảo hành 6-12 tháng, đổi mới 30 ngày, luôn xuất bán đầy đủ VAT.",Laptop,12590000,Dell,2,2026-03-28 23:18:38,2026-03-28 23:18:38
26,Laptop Dell Inspiron 16 5630 - Cũ Trầy Xước,"Mua Laptop Dell Inspiron 16 5630 cũ giá rẻ - Nguồn gốc rõ ràng, bảo hành 6-12 tháng, đổi mới 30 ngày, luôn xuất bán đầy đủ VAT.","- Loại card đồ họa: Intel Iris Xe Graphics
- Dung lượng RAM: 16GB
- Loại RAM: LPDDR5 4800MHz
- Ổ cứng: SSD 512GB M.2 PCIe NVMe
- Kích thước màn hình: 16 inches
- Công nghệ màn hình: 16&#x27;&#x27; FHD+ (1920 x 1200; 16:10) Anti-Glare Non-Touch 250nits WVA Display with ComfortView Support
- Pin: 4-Cell, 54Wh
- Hệ điều hành: Windows 11
- Độ phân giải màn hình: 1920 x 1200 pixels (FullHD+)
- Loại CPU: Intel core i5-1340P (12 cores, 16 Threads, up to 4.6GHz, 12MB cache)
- Cổng giao tiếp: 2x USB 3.2 Gen 1 Type A1x USB Type-C Thunderbolt 4.0 port with DisplayPort and Power Delivery1x HDMI 1.4 port1x SD-card slot1x Jack tai nghe 3.5mm1x Power-adapter port 4.5 mm x 2.9 mm DC-in","Mua Laptop Dell Inspiron 16 5630 cũ giá rẻ - Nguồn gốc rõ ràng, bảo hành 6-12 tháng, đổi mới 30 ngày, luôn xuất bán đầy đủ VAT.",Laptop,13990000,Dell,2,2026-03-28 23:18:38,2026-03-28 23:18:38
27,Laptop Dell Latitude 5320 P138G001 - Cũ Trầy Xước,"Mua Laptop Dell Latitude 5320 P138G001 cũ giá rẻ - Nguồn gốc rõ ràng, bảo hành 6-12 tháng, đổi mới 30 ngày, luôn xuất bán đầy đủ VAT.","- Loại card đồ họa: Intel Iris Xe Graphics
- Dung lượng RAM: 16GB
- Loại RAM: LPDDR4, 3200MHz
- Ổ cứng: 256GB SSD M2 PCIe NVMe
- Kích thước màn hình: 13.3 inches
- Công nghệ màn hình: Anti-Glare, 300 Nits
- Pin: 4 Cell 63Whr
- Hệ điều hành: Windows 10 Pro
- Độ phân giải màn hình: 1920 x 1080 pixels (FullHD)
- Loại CPU: Intel Core i7-1185G7 3.00 GHz upto 4.80 GHz/ 12 MB Intel® Smart Cache
- Cổng giao tiếp: 2 Thunderbolt 4, 1 USB 3.2 Gen 1 1 USB 3.2 Gen1 port with PowerShare, 1 HDMI 2.0","Mua Laptop Dell Latitude 5320 P138G001 cũ giá rẻ - Nguồn gốc rõ ràng, bảo hành 6-12 tháng, đổi mới 30 ngày, luôn xuất bán đầy đủ VAT.",Laptop,8490000,Dell,2,2026-03-28 23:18:38,2026-03-28 23:18:38
